text,labels
"Johann Eduard Erdmann (13 June 1805 – 12 June 1892) was a German religious pastor, historian of philosophy, and philosopher of religion, of which he wrote on the mediation of faith and knowledge. He was known to be a follower of Friedrich Schleiermacher, whom he studied under August Carlblom, and Georg Wilhelm Friedrich Hegel whom he considered as mentor. He also studied the works of Karl Daub and was to become known as a right-wing member of Hegelianism.",Philosopher
"Hare & Hare was a landscape architecture firm in Kansas City, Missouri. A number of their works are listed on the U.S. National Register of Historic Places. Works include (with attribution): \n* Blackfeather Farm, 8140 W 183rd St. Stilwell, KS (Hare and Hare), NRHP-listed \n* Fairfax Hills Historic District, Bounded by Esplanade Ave., Brown Ave. and 12th St., inc. both side of Parkwood Blvd., Coronado Rd. and Hilltop Rd. Kansas City, KS (Hare & Hare etc.), NRHP-listed \n* Fort Worth Botanic Garden, 3220 Botanic Garden Blvd. Fort Worth, TX (Hare and Hare), NRHP-listed \n* Horn-Vincent-Russell Estate, 6624 Wenonga Rd. Mission Hills, KS (Hare & Hare), NRHP-listed \n* Charles S. Keith House, 1214 W. 55th ST. Kansas City, MO (Hare & Hare), NRHP-listed \n* Robert Alexander Long High School, 2903 Nichols Blvd. Longview, WA (Hare & Hare), NRHP-listed \n* Monongahela Cemetery, Cemetery Hill Rd. at Gregg St. Monongahela City, PA (Hare and Hare, et al.), NRHP-listed \n* D. W. Newcomer's Sons Funeral Home, 1331 Brush Creek Kansas City, MO (Hare & Hare), NRHP-listed \n* One or more works in Oakhurst Historic District, Roughly bounded by Yucca Ave., Sylvania Ave., Watauga Ave., and Oakhurst Scenic Dr. Fort Worth, TX (Hare & Hare), NRHP-listed \n* One or more works in Westheight Manor District, Bounded roughly by 18th and 24th Sts., Oakland and State Aves. Kansas City, KS (Hare & Hare), NRHP-listed \n* One or more works in Westheight Manor Historic District (Boundary Increase), Roughly bounded by State and Wood Aves., 18th and 25th Sts. Kansas City, KS (Hare & Hare), NRHP-listed \n* One or more works in Wolflin Historic District, Roughly bounded by Wolflin Ave., Washington St., SW. 34th Ave., Parker St., SW. 30th Ave. and Lipscomb St. Amarillo, TX (Hare & Hare), NRHP-listed",Architect
"Erin Wasson (born January 20, 1982) is an American model, actress, occasional stylist, and designer.",Model
"Nationality: Iranian;Birth Date: 1955;Field of study: Philosophy of Religion, Religion Studies, Philosophy, Islamic studies, Islamic Philosophy, Islamic Studies;Special Field of study: Methods and Logic of Understanding Religion,The Holder of a New Theory on the Method of Understanding Religion (Ibtina Theory) in the field of Philosophy of Religion",Philosopher
"John M. Oxx (born 14 July 1950) is a leading Irish trainer of thoroughbred racehorses. By the end of the 2009 season Oxx had trained 35 Group One winners over his career, including the winners of 11 Classic races. He is best known as the trainer of Sinndar and Sea The Stars. Oxx has been widely praised for the care and undemonstrative authority with which he approaches the training and racing of his horses. He is particularly known for being highly selective when choosing when and where his horses will run.",HorseTrainer
"Jordi Galí (born January 4, 1961) is a Spanish macroeconomist who is regarded as one of the main figures in New Keynesian macroeconomics today. He is currently the director of the Centre de Recerca en Economia Internacional (CREI, the Center for Research in International Economics) at Universitat Pompeu Fabra and a Research Professor at the Barcelona Graduate School of Economics. After obtaining his doctorate from MIT in 1989 under the supervision of Olivier Blanchard, he held faculty positions at Columbia University and New York University before moving to Barcelona.",Economist
"Chandra Khonnokyoong (20 January 1909 - 10 September 2000) was a Thai mae ji (nun) who founded Wat Phra Dhammakaya. Scott has described her as \""perhaps the most influential nun in Thai Buddhist history\"". Her own students call her Khun Yai Ajan Mahā-ratana Upasika Chandra Khonnokyoong (Kuhn Yai Ajan, for short), an honorific name meaning \""grandmother-master-great-gem upasika\"". Although illiterate, she was widely respected for her experience in meditation, which is rare for a mae ji. She managed to attract many well-educated students, despite her rural background and illiteracy. Some scholars have raised the example of Mae Ji Chandra to indicate that the position of women in Thai Buddhism may be more complex as was previously thought.",Religious
"Stanisław Potocki (died 1760) was a Polish nobleman (szlachcic). Potocki was Grand Guard of the Crown from 1728, voivode of Smolensk Voivodeship from 1735 to 1744, voivode of Kiev Voivodeship from 1744 to 1756, voivode of Poznań Voivodeship from 1756, starost of Halicz (now Halych), Kolomyia, and Sniatyn. He received the Knighthood of the Order of the White Eagle, awarded on August 3, 1742. He was married to Marianna Łaszcz and they had two children, Antoni Potocki and Anna Elżbieta Potocka. He was later married to Helena Zamoyska with whom he had ten more children: Stanisław Potocki, Piotr Potocki, Franciszek Ksawery Potocki, Wincenty Potocki, Wiktoria Potocka, Ludwika Potocka, Ignacy Potocki, Michał Potocki, Ksawery Potocki and Teofilia Potocka.",Noble
"Leuthard II (c.806 – 858 or 869) was the seventh Count of Paris.He was the son of Beggo and Alpais, a granddaughter of Charlemagne.",Noble
"(This name uses Philippine naming customs for married women. The birth middle name or maternal family name is Gurrea, the birth surname or paternal family name is Supsup, and the marital name is Lee.) Shamcey Gurrea Supsup-Lee (born Shamcey Gurrea Supsup on May 16, 1986) is a Filipino, presenter, model, architect and beauty pageant titleholder who was crowned Miss Universe Philippines 2011 and represented her country at the Miss Universe 2011 pageant.",BeautyQueen
"Anne West, Lady De La Warr (née Knollys) (19 July 1555 – 30 August 1608) was a lady at the court of Queen Elizabeth I of England.",Noble
"Hans Guhr (24 October 1916 – 10 February 1969) was a highly decorated Major in the Wehrmacht during World War II. He was a recipient of the Knight's Cross of the Iron Cross. The Knight's Cross of the Iron Cross was awarded to recognise extreme battlefield bravery or successful military leadership. After the war he worked for German Chancellor Dr.Konrad Adenauer and then as the speaker of the Amt Blank, later the Minister of Defence, restarting his military career in the Bundeswehr in 1956 as a member of the PANDA Division in Supreme Headquarters Allied Powers Europe (Paris, France), reaching the rank of Oberstleutnant im Generalstab and retiring later to become a journalist as a civilian.",MilitaryPerson
James Abernethy FRSE (12 June 1814 – 8 March 1896) was a Scottish civil engineer.,Engineer
"Muhammad Husayn Tabataba'i or Seyed Mohammad Hossein Tabataba'i (Persian: علامه سید محمد حسین طباطبائی‎‎, 16 March 1903 – 7 November 1981) was one of the most prominent thinkers of philosophy and contemporary Shia Islam. He is famous for Tafsir al-Mizan, a twenty-volume work of Quranic exegesis, which he worked on from 1954 until 1972.He is commonly known as Allameh Tabataba'i and the Allameh Tabataba'i University in Tehran is named after him.",Philosopher
"Comstock entered the Miss Illinois USA pageant at the suggestion of her modeling agency who owned the franchise and her sister who encouraged her to participate. Paula Zahn, an acquaintance of Comstock also competed and placed in the top five. She won and a month later represented her state in the Miss USA pageant, held in Niagara Falls, New York on May 18, 1974. Comstock won the nationally televised pageant and was crowned by Amanda Jones, also of Illinois. She was crowned in a custom-made white chiffon gown made by Alyce Hamm of Alyce Designs. Her prize winnings included $7,500 cash, a $7,500 appearance contract, $3,000 in scholarships as well as a new car, color television, stereo and clothing. At the time Comstock was one of the tallest contestants ever to win a major beauty pageant. Comstock represented the United States in the Miss Universe pageant broadcast from Manila in the Philippines two months after winning her national title. This was only the third time that the pageant had been held outside the United States, and the first held in Asia. Continuing the strong history of the United States in this pageant, Comstock placed in the semi-finals. The pageant was won by Amparo Muñoz of Spain. During her reign she traveled extensively and met celebrities, including Jack Lemmon, Bobby Vinton, Omar Sharif and Joe Namath.",BeautyQueen
"Gentō Sokuchū (Japanese: 玄透即中) was a Sōtō Zen priest and the 50th abbot of Eihei-ji, the school's head temple. He was part of a 17th and 18th century movement within the Sōtō school that sought to bring the school's teachings back in line with those of the 13th century founding teacher, Dōgen. To this end, he edited major editions of works by Dōgen and succeeded in disseminating them widely. He is best remembered for compiling the Eihei Rules of Purity (Eihei Shingi), a collection of writings by Dōgen laying out a strict code of conduct for monks. These rules had been largely unheeded in the school in the preceding several centuries, and Gentō used his high position as abbot of Eihei-ji to reintroduce and enforce them. His work on the Eihei Rules of Purity was completed in 1794 while he was serving as the eleventh abbot of Entsū-ji. The following year he became the 50th abbot of Eihei-ji. He was also involved in editing Dōgen's master work, the Shōbōgenzō. In addition to his efforts on monastic rules, he also sought to remove what he perceived to be non-Sōtō elements within the school. He de-emphasized the use of koans due to their apparent historical association with the competing Rinzai school. In 1796 he also had the sangha hall (sōdō, 僧堂) at Eihei-ji rebuilt in imitation of the Song Dynasty structures that Dōgen had described. The previous building, dating from only fifty years earlier, was built in a Ming Dynasty style based on temples of the recently introduced Ōbaku school. Gentō's former student at Entsū-ji was the famous wandering monk Ryōkan. The Buddhist scholar Michel Mohr suggests that Gentō's fanaticism for 'purifying' the Sōtō school probably informed Ryōkan's decision to become an itinerant monk without an association to any temple.",Religious
Otto Hartmann (11 September 1884 – 10 July 1952) was a highly decorated General der Artillerie in the Wehrmacht during World War II. He was also a recipient of the Knight's Cross of the Iron Cross. The Knight's Cross of the Iron Cross was awarded to recognise extreme battlefield bravery or successful military leadership. Otto Hartmann was captured in 1945 by Allied troops and was held until 1947.,MilitaryPerson
"Austin O. Sexton (August 15, 1852 – January 9, 1908) was an American politician from Chicago, Illinois. Born and raised in the city, Sexton studied law and opened a practice in 1876. The same year, he was elected as a Democrat to the Illinois House of Representatives, serving until 1884. He then moved to Lake View, Illinois and was a prominent citizen there in its last years as an independent city to its first years as a part of Chicago. Upon its annexation, Sexton was elected to serve the area in the Chicago City Council, where he was president pro tempore and helped to oversee preparations for the World's Columbian Exposition. He unsuccessfully ran for a seat on the Supreme Court of Illinois in 1893, then mainly returned to his law practice. Later in his life he was the treasurer of a distillery in Hammond, Indiana.",OfficeHolder
"Most Ven. Kadawedduwe Sri Jinavamsa Maha Thera (Pali: Siri Jinavaṃsa, sometimes spelled Jinawansa, Sinhala: අති පූජ්‍ය කඩවැද්දූවේ ශ්‍රී ජිනවංශ මහා ථේර) was a Sri Lankan Bhikkhu (Buddhist monk). He was the founder of Sri Kalyani Yogasrama Samstha, a reform movement within the Sri Lankan Rāmañña Nikāya.",Religious
"Rajiv Dutta (died January 31, 2011) was a noted technology manager who has worked at major bioscience, semiconductor, software, and online companies. Dutta worked at Bio-Rad Laboratories from 1988 to 1998, and after a brief tenure at semiconductor equipment manufacturer KLA-Tencor moved to eBay shortly before its IPO as its finance director. He was later promoted to Vice President of Finance and Investor Relations and then to Senior Vice President and Chief Financial Officer. He served as President of Skype, which eBay had acquired in 2005, during 2006, and then moved to serve as president of PayPal, which eBay had acquired in 2002, for nearly two years. He was promoted to executive vice president and elected to the board of directors on January 23, 2008 as he moved to a new post overseeing all of eBay's ecommerce businesses.On January 30, 2009, Elevation Partners designated Rajiv Dutta for election to the Board at Palm Inc., after Donna Dubinsky offered to resign. He joined Elevation Partners in November 2009 as a Managing Director. Dutta was educated at The Doon School and held an undergraduate degree in economics from St. Stephen's College of Delhi University and an MBA from the Drucker School of Management of the Claremont Graduate University. Dutta died in 2011 of colon cancer.",BusinessPerson
"Alvin W. Thompson (born 1953, in Baltimore, Maryland) is a Federal Judge for the United States District Court for the District of Connecticut. He has served on the court from 1994 to the present. Judge Thompson was nominated to the court by President Bill Clinton on September 14, 1994, to a seat vacated by Ellen Bree Burns, confirmed by the United States Senate on October 7, 1994, and received his commission on October 11, 1994. He received a B.A. from Princeton University in 1975 and a J.D. from Yale Law School in 1978.",Judge
Chiara Gensini (born 2 May 1982) is an Italian actress.,Model
"Abbas II Hilmi Bey (also known as ‘Abbās Ḥilmī Pasha) (Arabic: عباس حلمي باشا‎‎) (14 July 1874 – 19 December 1944) was the last Khedive (Ottoman viceroy) of Egypt and Sudan, ruling from 8 January 1892 to 19 December 1914. In 1914, after Turkey joined the Central Powers in World War I, the nationalist Khedive was removed by the British, then ruling Egypt, in favor of his more pro-British uncle, Hussein Kamel, marking the de jure end of Egypt's four-century era as a province of the Ottoman Empire, which had begun in 1517.",Monarch
"Kenneth George \""Ken\"" Binmore, CBE (born 27 September 1940) is a British mathematician, economist, and game theorist. He is a Professor Emeritus of Economics at University College London (UCL) and a Visiting Emeritus Professor of Economics at the University of Bristol. He is one of the founders of the modern economic theory of bargaining (along with Nash and Rubinstein), and has made important contributions to the foundations of game theory, experimental economics, and evolutionary game theory, as well as to analytical philosophy. Binmore took up economics after a career in mathematics, during which he held the Chair of Mathematics at the London School of Economics. Since his switch to economics he has been at the forefront of developments in game theory. His other research interests include political and moral philosophy, decision theory, and statistics. He is the author of more than 100 scholarly papers and 14 books.",Philosopher
"Eva Marcille Pigford (born October 30, 1984), known professionally as Eva Marcille, is an American actress, TV host and fashion model, who most recently played the role of Tyra Hamilton on the soap opera The Young and the Restless. She started her career by winning the third cycle of America's Next Top Model. She was previously credited by her birth name, Eva Pigford, but changed her name for acting purposes.",Model
"Scott A. Lake (born June 29, 1965 in Harrisburg, Pennsylvania) is an American trainer of Thoroughbred racehorses who, on December 15, 2010, became the sixth trainer in North American racing history to record 5,000 wins. As at January 29, 2012 he is ranked sixth all time in career wins with 5,145.",HorseTrainer
"Arvandus was a Gaul who rose through the hierarchy of Imperial Roman society to twice be appointed Praetorian prefect of Gaul. On the first occasion, 461, he was appointed by Emperor Libius Severus. This appointment ended when Severus died in 465. Two years later, in 467, he was appointed by Anthemius. His friend and chronicler, Sidonius Apollinaris, records that his first term was successful and he himself well liked. However, in his second term he found himself widely hated, and in 472 was removed from office and brought to Rome in chains. Here he was accused by envoys from a commission of influential Gauls of committing treason. The envoys brought with them a letter which Arvandus' secretary attested had been dictated by Arvandus. In it, Arvandus set out to dissuade Euric, king of the Visigoths, from concluding peace with the Eastern Roman Emperor, urging that instead he should attack the Bretons north of the Loire. The letter asserted that the Law of Nations called for a division of Gaul between the Visigoths and Burgundians. Riothamus, King of the Britons, was allied to Roman Emperor Anthemius, so this was tantamount to declaring war on the Emperor. Arvandus was put on trial for treason. The trial should have been overseen by Sidonius, but Sidonius chose to resign his position instead, and plead for clemency on behalf of his friend. At his trial, Arvandus was found guilty and was stripped on the spot of all the privileges pertaining to his prefecture, and consigned to the common jail to await execution. Cassiodorus asserts that Arvandus' intention was to divide the empire and seize the throne: It may be that Arvandus was hoping to obtain the throne with aid from the Gauls and the Visigoths, in the manner of the previous attempt by Avitus. If so, Arvandus was disappointed; he received no support from the Gallic aristocracy. Possibly this was a result of his undistinguished birth, but the great majority of the Gauls would have learned from Avitus' example, and realized that the day for such adventures was long past. Cassiodorius reports that Sidonius and his friends were successful in saving Arvandus from the death penalty. \""At the order of Anthemius, Arvandus, who had attempted to become emperor, was sent into exile\"" (\""Arabundus imperium temptans iussu Anthemii exilio deportatur\"".",MilitaryPerson
"David William Gordon (February 27, 1832 – February 19, 1893) was a Canadian politician from British Columbia. Gordon was born in Camden Township, Upper Canada, the son of Michael Gordon. He went to California in 1856 and then moved to British Columbia in 1858, where he established himself as a professional architect and builder in Nanaimo, British Columbia. Gordon was a prominent citizen and one of the wealthiest men in the city. He ran as an unaffiliated candidate in the 1875 provincial election, losing a close race to John Bryden, an “opposition” candidate. Gordon was later successful in an 1877 by-election called because of Bryden’s resignation. He served as “government” member, supporting Premier George Anthony Walkem. He was unable to retain the seat in the following general election. Gordon ran as a Liberal-Conservative candidate in the federal election just two months following his provincial defeat in 1878. He was unable to unseat incumbent Liberal Arthur Bunster in the Vancouver (Island) district. Gordon was not deterred and later defeated Bunster by a wide margin in the following election, in 1882. He was re-elected over a Conservative opponent 1887 and acclaimed in 1891. Gordon died in office in 1893. Gordon was married twice: to Emma Elizabeth Robb in 1864 and to Statira Catherine Shepard in 1886.",OfficeHolder
"Concertus Design and Property Consultants are formerly part of the property department of Suffolk County Council based in Endeavour House, Ipswich, England. They are an architectural and planning firm who despite being independent, still do a lot of contracts for Suffolk County Council including schools. In 2014 they were listed in the top 50 for best architectural and construction firms in the sector in England. Concertus Design and Property Consultants biggest work is building/designing schools for the council as well as adding extensions to existing buildings like at Kesgrave High School. The firm provided advice as well as overseeing the project.",Architect
"María Xavier (Maye) Brandt Angulo (April 28, 1960 – October 2, 1982) was the Miss Venezuela titleholder for 1980, and was the official representative of Venezuela to the Miss Universe 1980 pageant held in Seoul, Korea, on July 7, 1980. Brandt died in 1982 as the result of a self-inflicted gunshot wound at the age of 22.",BeautyQueen
"Catherine Ann Novelli (born 1957) is a U.S. diplomat and the current Under Secretary of State for Economic Growth, Energy, and the Environment at the U.S. Department of State. She is also the State Department’s Senior Coordinator for International Information Technology Diplomacy.",Ambassador
"Corinne Ann Beckwith (born 1963) is an Associate Judge of the District of Columbia Court of Appeals, the highest appellate court for the District of Columbia. She spent her legal career as a public defender before being nominated to the bench by President Barack Obama in 2011. Beckwith grew up in Michigan, where she attended public schools in Grand Rapids and received a B.A. with honors in English from Kalamazoo College in 1985. After college, Beckwith went into journalism, earning an M.A. from the University of Illinois in 1987 and working as a reporter for the Midland Daily News. In 1989, she entered law school at the University of Michigan. She served as editor-in-chief of the Michigan Law Review and graduated with a J.D. in 1992. She then clerked for Judge Richard Cudahy of the United States Court of Appeals for the Seventh Circuit and Justice John Paul Stevens of the United States Supreme Court before embarking on a career in appellate public defense in Michigan and then, beginning in 1999, at the Public Defender Service for the District of Columbia.",Judge
"Karl Theodor Jaspers (German: [ˈjaspɐs]; 23 February 1883 – 26 February 1969) was a German-Swiss psychiatrist and philosopher who had a strong influence on modern theology, psychiatry, and philosophy. After being trained in and practicing psychiatry, Jaspers turned to philosophical inquiry and attempted to discover an innovative philosophical system. He was often viewed as a major exponent of existentialism in Germany, though he did not accept this label.",Philosopher
"Mahmud Ghazan (1271– 11 May 1304) (Mongolian: Газан хаан, Chinese: 合贊, sometimes referred to as Casanus by Westerners) was the seventh ruler of the Mongol Empire's Ilkhanate division in modern-day Iran from 1295 to 1304. He was the son of Arghun and Quthluq Khatun, continuing a long line of rulers who were direct descendants of Genghis Khan. Considered the most prominent of the Ilkhans, he is best known for making a political conversion to Islam in 1295 when he took the throne, marking a turning point for the dominant religion of Mongols in West Asia (Iran, Iraq, Anatolia and Trans-Caucassia). His principal wife was Kököchin, was a Mongol princess (originally betrothed to Ghazan's father Arghun before his death) sent by his Khagan Kublai Khan, and escorted from the Mongol capital to the Ilkhanate by Marco Polo. Military conflicts during Ghazan's reign included war with the Egyptian Mamluks for control of Syria, and battles with the Turko-Mongol Chagatai Khanate. Ghazan also pursued diplomatic contacts with Europe, continuing his predecessors' unsuccessful attempts at forming a Franco-Mongol alliance. A man of high culture, Ghazan spoke multiple languages, had many hobbies, and reformed many elements of the Ilkhanate, especially in the matter of standardizing currency and fiscal policy.",Monarch
"Samuel Sherwood was High Constable of the Toronto Police Department from 1852 to 1859. A tavern owner with ties to the Tory Family Compact, his brother, Henry Sherwood was Mayor of Toronto and then Premier of Canada West in the 1840s. According to Conyngham Crawford Taylor, Samuel Sherwood was “a quiet, good-natured man, who did not insist on any strict regulations as to the dress or discipline of the men. They wore a uniform, but without uniformity, except in one respect—they were universally slovenly.” His stewardship of the police force was accordingly lax. Most officers were Orangemen, at a time when Toronto was riven by religious sectarianism between the more affluent Protestant majority and the poorer Catholic minority, and showed favouritism to other members of the Orange Order, even to the point of joining them in brawling with Catholics in the six major instances of sectarian rioting between 1852 and 1858. In March 1858, Sherwood himself refused to testify against a fellow Orangeman implicated in rioting at the St Patrick's Day parade. Sherwood was appointed chief constable despite the fact that a provincial inquiry had implicated him in the 1841 election riot that followed his brother's electoral defeat that year. Sherwood had allegedly organized an armed gang inside the Coleraine Tavern which opened fire upon participants in the rival candidate's victory parade. In 1858, Sherwood let the prime suspect in the robbery of the Bank of Upper Canada go free prompting the mayor, William Henry Boulton, to order an inquiry. Sherwood quarreled with Boulton in the press, accusing him of running a star chamber proceeding against him, resulting in Boulton recommending Sherwood's suspension to city council. Council voted 14 to 10 in favour of Sherwood resulting in Boulton resigning as mayor, though he ran in the subsequent election. The scandal resulted in provincial legislation that required the appointment of an independent police board. The body, the Toronto Board of Police Commissioners was appointed in 1859 and fired Sherwood and the entire police force in order to replace them with a better trained, disciplined force. Sherwood went on to be Toronto's harbour master.",OfficeHolder
"Bagher Babashah Ashtiani (Persian: باقر باباشاه آشتیانی‎‎, born 23 February 1923 – died 22 December 2015) was an Iranian prosecutor and a judge on the country's highest court before the Iranian Revolution. He was chief prosecutor in the cities of Zanjan and Karaj. In the 1970s, he was nominated by the Minister of Justice Manuchehr Parto and approved by Mohammadreza Shah Pahlavi to represent the state in the Iranian Supreme Court and later served as special counsel to the Country's Supreme Court. After the revolution, his last position was to serve as the head of Ministry of Justice's Bureau of Liquidation and Bankruptcy Affairs. He also wrote a column on social and judicial affairs in the popular Khandaniha magazine under the Pen name Behi. He died in Los Angeles, California due to respiratory failure in 2015. In his lifetime, Babashahi was close to many prominent figures associated with the National Front of Iran such as Jalali Naeeni and Assadollah Mobasheri (who became the first minister of justice in the Islamic Republic in Bazargan's interim government). Although Babashahi greatly admired Prime Minister Mohammad Mosaddegh, he had a profound respect for Reza Shah as the \""Father of Modern Iran\"". \n* Babashahi Greeting The Shah in City of Zanjan, Iran as City's Chief Prosecutor",Judge
"Michael W. Dickinson (born 3 February 1950, in Yorkshire, England) is a retired Champion Thoroughbred racehorse trainer. Having been educated at Rossall School, Dickinson was an amateur champion rider before becoming a professional jockey for 10 years. His rides included a Classic winner, Boucher.",HorseTrainer
"Yoshio Shiga (志賀 淑雄 Shiga Yoshio) was an officer, ace fighter pilot, and leader in the Imperial Japanese Navy (IJN) during the Second Sino-Japanese War and the Pacific theater of World War II. At the December 1941 Attack on Pearl Harbor, Shiga led one of the aircraft carrier Kaga's fighter divisions during the first strike on American forces on Oahu. The number of his Zero fighter was AII-105. Shiga continued as a fighter division commander on Kaga until April 1942. In May 1942, then Lieutenant Shiga took command of aircraft carrier Jun'yō's fighter group, a post he held until December 1942. During this time, Shiga led the carrier's fighters in the battles of Dutch Harbor and the Santa Cruz Islands. In the latter battle, he attacked the US carriers, USS Hornet (CV-8) and USS Enterprise (CV-6), in which the former was later sunk, while Enterprise was heavily damaged. He subsequently commanded the aircraft carrier Hiyō's fighter group from December 1942 through January 1943 while the carrier was in port in Japan. After promotion to Lieutenant Commander, Shiga was assigned as air officer to the 343rd Air Group which was engaged in homeland defence in Japan, based at Matsuyama Air Base, in December 1944. He is famous for his strong objection against the tactic of suicide attack (Kamikaze) and saved many lives of Japanese young pilots. After the war, Shiga became president of police equipment manufacturer Nobel Kōgyō and made many devices such as bulletproof vests and extractable police batons for Japanese police. He died on 25 November 2005.",MilitaryPerson
"Adler & Sullivan was an architectural firm founded by Dankmar Adler and Louis Sullivan. It is known for designing the Auditorium Building in Chicago and the Wainwright Building in St Louis. In 1883 Louis Sullivan was added to Adler's architectural firm, creating the Adler & Sullivan partnership.",Architect
"Sofía Viacava Canessa (born October 1987) is a beauty pageant contestant and high fashion model. Viacava was crowned as Miss Chile Continente Americano 2010 on July 17, 2010, by MissModel & Bellezas Chilenas, after finishing as 1st runner-up of Miss Earth Chile 2010. She represented her country in Miss Continente Americano 2010 in September in Guayaquil, Ecuador. In 2009, Viacava represented Chile in Miss Italia Nel Mondo in Jesolo, Italy. As a model, Viacava has worked in both runway and fashion photography, participating in fashion shows such as Chile Fashion Week and walking for well-renowned Chilean designers.",BeautyQueen
"Theodore \""Ted\"" Michael Drange (born 1934) is a philosopher of religion and Professor Emeritus at West Virginia University, where he taught philosophy from 1966 to 2001.",Philosopher
"Nawal Michelle Ayoub Valderrama is a Colombian, from Lebanese ancestry, beauty queen. During 2004, she represented Bogota, as Miss Bogota, in the Miss Colombia beauty peageant. Also, She was crowned Miss Earth Lebanon 2014 and competed in the Miss Earth 2014 pageant.",BeautyQueen
"Ahmet Hulki Saral (1905–1982) was a Turkish Army general and a military historian. He was born 1905 in Sofoular village (present day Kapnochori) of Kozana (present day Kozani, Greece). Before the Balkan Wars, Kozana was a town in the Serfiçe Sanjak of the Monastir Vilayet within the Ottoman Empire. His father was Hodja Ismail Hakki Efendi, a military imam at the 97th Regiment of the Ottoman Army. Ahmet Hulki Saral graduated from the Turkish Military Academy in 1924 as an infantry officer. In 1933, he completed his education as a staff Second Lieutenant and served in various military units as a staff officer. Between 1948-1950, he was chief of staff at the Dardanelles Fortified Area Command. Then, he commanded the 42nd Infantry Regiment and later, promoted to the rank of a general, the 4th Infantry Division in Gallipoli. In 1957, he was tasked with the reorganization of the Military Museum in Istanbul and the renowned historical Ottoman military band \""Mehter\"". During the years 1958-1960, he served as the chief of the Turkish Military History Department at the Turkish General Staff. He retired in 1960. He married to Hacer Cenan Saral from Fethiye. The couple had two sons, İsmail Tosun Saral (1941) and Osman Yavuz Saral (1947–1982). Ahmet Hulki Saral died 1982 in Ankara.",MilitaryPerson
"Hendrik G. \""Hank\"" Meijer (born 1952) is an American businessman, co-chairman and CEO of the US supermarket chain Meijer.",BusinessPerson
"Italo S. Cappabianca  was a Democratic member of the Pennsylvania House of Representatives. He graduated from Strong Vincent High School in Erie, Pennsylvania in 1955 and earned a degree in political science from Gannon University in 1968. He was elected to represent the 2nd legislative district in 1978, following the resignation of Robert E. Bellomini. He married his wife Linda Lou Cappabianca late in life, and climbed Mount Kilimanjaro with two fellow legislators, Bill DeWeese and Frank Serafini. He was diagnosed with brain cancer in the summer of 1999 and underwent an experimental gene therapy treatment at the University of Pittsburgh Cancer Institute. He died on May 28, 2001. Gannon University offers the \""Italo S. Cappabianca Scholarship,\"" an endowed scholarship in his name. Linda Cappabianca lost the endorsement of the local Democratic committee to succeed her husband, losing to her former friend Gayle Wright. Mrs. Cappabianca explained that \""[Wright] really didn't call me and discuss what she was going to do.\""  She decided against mounting a formal write-in campaign, citing time constraints, but encouraged voters to write her in as an independent candidate. Wright won the August 14 contest with 48.2% of the vote, with Cappabianca placing a strong second place with 39.1%.",OfficeHolder
"Macarena Mina Garachena is a pageant titleholder, was born in Coihaique, Chile on October 18, 1968. She is the Miss Chile titleholder for 1989 and was the official representative of Chile to the Miss Universe 1989 pageant held in Cancún, México. She placed as a semifinalist in the top 10 at the pageant. The winner was Angela Visser, Miss Holland.",BeautyQueen
"Ryann Maegen Hoven (born July 5, 1985), known professionally as Tess Holliday and formerly known as Tess Munster, is an American plus-size model based in Los Angeles. She self-describes as a \""body positive activist\"" and started her #effyourbeautystandards movement on Instagram in 2013. In the same year, she was named by Vogue Italia as one of the top six plus-size models in the world. In 2015, Milk Model Management announced that they had signed Holliday, making her the largest plus-size model to be signed to a mainstream modeling agency.",Model
"Randall L. Schweller is Professor of Political Science  at The Ohio State University, where he has taught since 1994. He earned his PhD from Columbia University in 1993 and was as an Olin Fellow at Harvard University in 1993-94. His primary teaching and research interests include international security and international relations theory, and he is perhaps best known for his Balance of Interests theory, a revision to Kenneth Waltz's Balance of Power theory and Stephen Walt's Balance of Threat theory. His work on this subject includes: Randall Schweller, \""Tripolarity and the Second World War\"", International Studies Quarterly 37:1 (March 1993) and Randall Schweller, Deadly Imbalances: Tripolarity and Hitler's Strategy of World Conquest (Columbia University Press, 1998). Often associated with Structural Realists like Kenneth Waltz and Stephan Walt, he may more accurately be portrayed as a Neoclassical Realist (a term coined by Gideon Rose) because of his willingness to consider non-structural explanations of state behavior (other neoclassical realists include Fareed Zakaria, Thomas J. Christensen, and William Wohlforth). For instance: Randall Schweller and David Priess, \""A Tale of Two Realisms: Expanding the Institutions Debate,\"" Mershon International Studies Review 41:2 (April 1997) He is also credited with reemphasizing the distinction between status-quo and revisionist states, and incorporating that difference into realist theories of state behavior. Randall Schweller, \""Bandwagoning for Profit: Bringing the Revisionist State Back in\"", International Security 19:1 (Summer 1994) and Randall Schweller, \""Neorealism's Status-Quo Bias: What Security Dilemma?\"" Security Studies 5:3 (Spring 1996). His current work examines why states sometimes fail to balance (focusing on the internal dynamics of states, which directly challenges the unitary actor assumption of Structural Realism). He has a book on this subject forthcoming from Princeton University Press that is an extension of his article: \""Unanswered Threats: A Neoclassical Realist Theory of Underbalancing,\"" International Security 29:2 (Fall 2004).",Philosopher
